,代码,名称,收盘价,5日均线,10日均线,20日均线,30日交易量,30日交易额
1,002233.XSHE,塔牌集团,13.49,10.594000000000001,11.473999999999998,11.790000000000003,474352388.0,5960615549.910001
2,603809.XSHG,豪能股份,14.82,11.536,12.381,12.708000000000002,65122352.0,872145772.1099999
3,600205.XSHG,S山东铝,,,,,,
4,002897.XSHE,意华股份,37.76,29.669999999999998,32.051,32.467999999999996,177584954.0,6106758685.220001
5,002906.XSHE,华阳集团,18.25,13.64,14.422000000000002,13.918000000000001,159940224.0,2429959168.42
6,002596.XSHE,海南瑞泽,7.32,5.744,6.237,6.5845,711191444.0,4974354899.300001
7,300846.XSHE,首都在线,8.6,5.998,,,,
8,600387.XSHG,海越能源,8.64,6.709999999999999,7.300999999999999,7.779499999999999,277404062.0,2301492963.17
9,600393.XSHG,粤泰股份,3.26,2.608,2.758,2.8165,618876703.0,1898364064.55
10,688015.XSHG,交控科技,50.35,39.294,42.144,43.445499999999996,39707091.0,1845080337.5700002
11,000988.XSHE,华工科技,27.11,20.3,22.360000000000003,22.669,942447240.0,22874615353.199997
12,300643.XSHE,万通智控,16.13,12.5,13.337,13.754999999999999,111916764.0,1649454529.87
13,002060.XSHE,粤水电,3.43,2.626,2.779,2.8459999999999996,312729520.0,970997368.75
14,002296.XSHE,辉煌科技,7.93,6.159999999999999,6.659000000000001,6.840000000000001,172761979.0,1262123592.0700002
15,603217.XSHG,元利科技,30.43,23.78,25.784000000000002,26.943499999999993,20276377.0,583077423.08
16,300033.XSHE,同花顺,177.51,138.89600000000002,138.949,130.8855,267230549.0,37983168711.82
17,600831.XSHG,广电网络,8.81,6.816000000000001,7.269,7.641999999999999,585016741.0,4738740760.329999
18,002858.XSHE,力盛赛车,15.91,12.113999999999999,12.963,13.720000000000002,36450744.0,530879000.60999995
19,600468.XSHG,百利电气,5.69,4.386000000000001,4.7379999999999995,4.725,284237493.0,1437548937.1000001
20,000949.XSHE,新乡化纤,3.78,2.956,3.217,3.3435,357239114.0,1271860138.2
21,600258.XSHG,首旅酒店,18.1,14.014,14.863999999999999,15.397,332809797.0,5476568738.54
22,603220.XSHG,中贝通信,19.58,15.298000000000002,16.467000000000002,17.032999999999998,94148580.0,1721087292.9700003
23,600687.XSHG,*ST刚泰,1.2,0.9199999999999999,1.0259999999999998,1.0939999999999999,165398459.0,191382706.69
24,002610.XSHE,爱康科技,1.7,1.356,1.404,1.3699999999999999,2823938847.0,4379493857.71
25,002562.XSHE,兄弟科技,6.3,4.78,5.08,5.189500000000001,342055096.0,1927794484.64
26,600788.XSHG,*ST达曼,,,,,,
27,300827.XSHE,上能电气,49.8,38.617999999999995,42.288,43.473,46217642.0,2124788174.5299997
28,600890.XSHG,中房股份,7.98,5.962,6.561,6.817,130329167.0,943951348.9200001
29,300843.XSHE,胜蓝股份,23.21,16.186,,,,
30,000591.XSHE,太阳能,4.0,2.9699999999999998,3.142,3.168,671739698.0,2397885660.75
31,600682.XSHG,南京新百,13.96,9.78,9.987,9.769499999999997,416065929.0,4511430579.34
32,600379.XSHG,宝光股份,6.48,5.106,5.578999999999999,5.850499999999999,69202355.0,427489163.47999996
33,603912.XSHG,佳力图,24.81,19.408,20.769,21.046,167408798.0,3703890691.6500006
34,002606.XSHE,大连电瓷,8.55,6.630000000000001,7.264999999999999,7.417000000000002,307542932.0,2434014233.2799997
35,603536.XSHG,惠发食品,15.52,12.022,13.137,13.943499999999997,114767931.0,1691326675.45
36,002375.XSHE,亚厦股份,11.73,9.078,9.605,9.703999999999999,245988370.0,2540964262.0400004
37,600094.XSHG,大名城,6.39,5.066,5.531000000000001,5.7645,1066486414.0,6528519099.070001
38,601155.XSHG,新城控股,38.09,30.23,31.496000000000002,31.6315,282526938.0,9566601324.18
39,002051.XSHE,中工国际,8.37,6.581999999999999,6.984,7.200500000000001,169798901.0,1317528784.97
40,603667.XSHG,五洲新春,8.66,6.787999999999999,7.341999999999999,7.775000000000001,88342807.0,726347956.3000001
41,002300.XSHE,太阳电缆,6.43,5.022,5.42,5.618,136528039.0,819380311.9499999
42,603038.XSHG,华立股份,12.2,9.526,10.288,10.328,30130417.0,331437799.89
43,603045.XSHG,福达合金,14.68,11.616,12.575,12.881500000000003,101824970.0,1397059169.3800004
44,600800.XSHG,天津磁卡,5.11,4.008,4.362,4.5785,134226655.0,654992849.25
45,002270.XSHE,华明装备,6.75,5.076,5.339,5.462,455292431.0,2679701104.8
46,002044.XSHE,美年健康,15.81,12.110000000000001,13.288,12.831999999999999,1046804192.0,14255052451.920002
47,002378.XSHE,章源钨业,4.96,3.838,3.9979999999999998,4.081999999999999,203795635.0,916599610.26
48,002199.XSHE,东晶电子,9.15,7.064,7.557,7.875,97080584.0,816255085.47
49,300338.XSHE,开元股份,8.0,6.228,6.76,7.0435,81766755.0,612383889.4699999
50,002226.XSHE,江南化工,6.25,4.802,5.295,5.542,343706057.0,2000784285.44
51,601789.XSHG,宁波建工,5.49,4.294,4.596,4.702,888528301.0,4486025324.6
52,000669.XSHE,*ST金鸿,1.81,1.432,1.556,1.5944999999999996,147929463.0,249329807.87000003
53,600458.XSHG,时代新材,7.35,5.744,6.154000000000001,6.35,140382765.0,954821483.9399998
54,000515.XSHE,攀渝钛业,,,,,,
55,002622.XSHE,融钰集团,3.32,2.612,2.836,2.9464999999999995,381835528.0,1204577032.8000002
56,688505.XSHG,复旦张江,41.09,29.938,32.524,,,
57,300036.XSHE,超图软件,29.24,22.158,23.564,23.9165,228818179.0,5849936001.25
58,603258.XSHG,电魂网络,57.93,45.538,49.813,48.76149999999999,168914990.0,8577014279.219998
59,300107.XSHE,建新股份,6.26,4.767999999999999,5.147,5.337999999999999,111361084.0,640833457.7
60,300215.XSHE,电科院,6.91,5.41,5.839,6.032,111444091.0,718392232.6299999
61,603223.XSHG,恒通股份,13.78,10.848,12.020000000000001,11.614,82014799.0,1019804634.4399999
62,300657.XSHE,弘信电子,28.3,20.71,20.635,19.7955,321658248.0,6961977350.34
63,002820.XSHE,桂发祥,12.9,9.958,10.580000000000002,10.752,85935532.0,989578534.1899999
64,688023.XSHG,安恒信息,328.45,257.854,281.45,279.89149999999995,8380041.0,2497118145.79
65,300303.XSHE,聚飞光电,6.7,5.202,5.521,5.6259999999999994,1070478423.0,6439514472.670001
66,600010.XSHG,包钢股份,1.27,0.9760000000000002,1.034,1.0655,9378054424.0,10808185887.42
67,600176.XSHG,中国巨石,10.2,8.024,8.747,9.092499999999998,916256743.0,8836855979.19
68,603169.XSHG,兰石重装,4.97,3.904,4.069,4.147,182326782.0,849621695.6299999
69,300591.XSHE,万里马,6.94,5.448,5.976000000000001,6.281499999999999,215247838.0,1453260844.0000002
70,000852.XSHE,石化机械,5.26,4.068,4.3839999999999995,4.532500000000001,111848933.0,546227140.69
71,000033.XSHE,新都退,,,,,,
72,002021.XSHE,ST中捷,2.22,1.6740000000000002,1.8369999999999997,1.8989999999999998,91822658.0,186537665.07999998
73,002317.XSHE,众生药业,17.46,13.844,15.464000000000002,14.664499999999999,841134641.0,13578586682.25
